timing unit: 1 / 1000000 of a second
maxDigits: 6000
trialsPerDigit: 10
digits	average mul() time	average fastMul() time	crossover achieved?	
2980	106753	96195	1
2990	107270	96074	1
3000	108214	96285	1
3010	108786	96730	1
3020	109246	99099	1
3030	110200	98136	1
3040	110774	98734	1
3050	111423	98704	1
3060	112669	100066	1
3070	113195	99597	1
3080	114712	102542	1
3090	115592	102769	1
3100	115400	102467	1
3110	116762	102746	1
3120	117135	103175	1
3130	117926	103757	1
3140	119086	104965	1
3150	119459	105107	1
3160	120469	105315	1
3170	121740	107174	1
3180	121825	106332	1
3190	123128	107075	1
3200	123222	107688	1
3210	123921	108341	1
3220	125077	109650	1
3230	125294	109683	1
3240	126025	110633	1
3250	127147	111779	1
3260	127346	111678	1
3270	128019	112800	1
3280	128789	113193	1
3290	129478	113170	1
3300	130520	113607	1
3310	131132	113949	1
3320	131893	115512	1
3330	132891	114830	1
3340	134094	118140	1
3350	134488	116165	1
3360	135248	116689	1
3370	136311	117766	1
3380	137496	117154	1
3390	138448	116788	1
3400	139464	117855	1
3410	140168	120452	1
3420	141328	118087	1
3430	141904	119962	1
3440	143161	119541	1
3450	143747	119808	1
3460	145354	119800	1
3470	145201	120268	1
3480	146707	121601	1
3490	147561	121090	1
3500	147721	121353	1
3510	149350	122126	1
3520	149363	122394	1
3530	150568	122387	1
3540	151061	122974	1
3550	152407	123378	1
3560	153024	124103	1
3570	153482	124760	1
3580	154737	124478	1
3590	155442	125648	1
3600	156060	127236	1
3610	157400	127950	1
3620	158048	129111	1
3630	159510	129180	1
3640	160598	130376	1
3650	160430	131050	1
3660	160803	131619	1
3670	161893	131409	1
3680	163024	131889	1
3690	164233	132295	1
3700	165131	133114	1
3710	165499	133298	1
3720	166507	137903	1
3730	167230	135197	1
3740	168234	134619	1
3750	168908	135376	1
3760	170006	135624	1
3770	170616	136152	1
3780	171680	136440	1
3790	173063	136919	1
3800	173399	137772	1
3810	174681	137566	1
3820	174916	138430	1
3830	176237	138897	1
3840	176841	139109	1
3850	177891	141241	1
3860	178434	141009	1
3870	180612	140904	1
3880	180437	142141	1
3890	181014	143154	1
3900	182485	142724	1
3910	184136	144627	1
3920	184488	143860	1
3930	185170	144465	1
3940	185745	145126	1
3950	186802	144997	1
3960	187836	145970	1
3970	188754	146662	1
3980	189683	147144	1
3990	190950	147315	1
4000	192822	147671	1
4010	193186	147942	1
4020	194607	151500	1
4030	195296	148728	1
4040	196274	149501	1
4050	196887	150793	1
4060	198213	150314	1
4070	199875	152410	1
4080	200690	151186	1
4090	200800	152160	1
4100	202028	154432	1
4110	202726	156034	1
4120	204703	157550	1
4130	205932	158765	1
4140	206412	160147	1
4150	207225	161830	1
4160	208304	162296	1
4170	209007	163582	1
4180	210484	165180	1
4190	211354	165343	1
4200	212325	166280	1
4210	212960	168557	1
4220	214608	167890	1
4230	215528	169318	1
4240	215889	173794	1
4250	216744	171550	1
4260	219359	172463	1
4270	218917	172784	1
4280	220923	173360	1
4290	220796	174390	1
4300	221874	174855	1
4310	222481	176162	1
4320	224363	176299	1
4330	224800	177129	1
4340	226676	178536	1
4350	227989	186850	1
4360	227901	179996	1
4370	229436	181999	1
4380	230796	183291	1
4390	230742	186818	1
4400	232200	184248	1
4410	233284	185097	1
4420	234345	189916	1
4430	234806	186329	1
4440	236859	189782	1
4450	236915	187974	1
4460	242284	191655	1
4470	239629	188531	1
4480	240411	189184	1
4490	241868	191453	1
4500	242914	190804	1
4510	244285	191166	1
4520	245399	191872	1
4530	245894	194422	1
4540	247099	192715	1
4550	247966	193303	1
4560	249744	194105	1
4570	250020	195376	1
4580	251102	196031	1
4590	252052	196532	1
4600	253629	196350	1
4610	254781	197535	1
4620	256604	199955	1
4630	256961	200054	1
4640	258806	201199	1
4650	259538	201971	1
4660	260945	201853	1
4670	261829	202299	1
4680	263879	210699	1
4690	267300	208564	1
4700	266403	204612	1
4710	266998	206414	1
4720	268523	206592	1
4730	269344	206133	1
4740	270104	207974	1
4750	270687	208316	1
4760	272642	208139	1
4770	272857	209545	1
4780	274828	209908	1
4790	275732	210937	1
4800	276527	210409	1
4810	277682	211785	1
4820	279383	211934	1
4830	280615	211612	1
4840	281675	212528	1
4850	282975	213404	1
4860	283922	216885	1
4870	285535	215218	1
4880	286728	215403	1
4890	287458	216075	1
4900	289646	217884	1
4910	290263	218594	1
4920	290754	218409	1
4930	291817	220060	1
4940	293358	219958	1
4950	294225	219812	1
4960	295685	220695	1
4970	296815	220967	1
4980	298782	222285	1
4990	299682	222975	1
5000	300233	223983	1
5010	301725	225796	1
5020	303011	224603	1
5030	303971	225933	1
5040	305135	225927	1
5050	306432	225157	1
